Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
12/08/1997 22:00,120101,1,60,1,East Bound,2,South,75,0,,6,0,
12/08/1997 22:00,120101,1,60,2,West Bound,2,South,59,0,,6,0,
12/08/1997 23:00,120101,1,60,1,East Bound,2,South,34,0,,6,0,
12/08/1997 23:00,120101,1,60,2,West Bound,2,South,31,0,,6,0,
13/08/1997 00:00,120101,1,60,1,East Bound,2,South,10,0,,6,0,
13/08/1997 00:00,120101,1,60,2,West Bound,2,South,16,0,,6,0,
13/08/1997 01:00,120101,1,60,1,East Bound,2,South,2,0,,6,0,
13/08/1997 01:00,120101,1,60,2,West Bound,2,South,7,0,,6,0,
13/08/1997 02:00,120101,1,60,1,East Bound,2,South,12,0,,6,0,
13/08/1997 02:00,120101,1,60,2,West Bound,2,South,2,0,,6,0,
13/08/1997 03:00,120101,1,60,1,East Bound,2,South,2,0,,6,0,
13/08/1997 03:00,120101,1,60,2,West Bound,2,South,2,0,,6,0,
13/08/1997 04:00,120101,1,60,1,East Bound,2,South,5,0,,6,0,
