Key-Clé,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnéeFinancière
767311,"Tousignant, Pierre",CO,Co-Investigator,Co-chercheur,CFCC,CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont,Québec,Québec,Canada,Canada,200405
767311,"Pineault, Raynald",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,AEFQ,Direction régionale de santé publique (CIUSSS - CSIM),Québec,Québec,Canada,Canada,200405
767311,"Hanley, James A",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200405
767311,"Haggerty, Jeannie L",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200405
767311,"Roberge, Danièle",CO,Co-Investigator,Co-chercheur,ABQJ,"Charles LeMoyne Hospital (Greenfield Park, Québec)/Hôpital Charles LeMoyne (Greenfield Park, Québec)",Québec,Québec,Canada,Canada,200405
767311,"Lamarche, Paul A",CO,Co-Investigator,Co-chercheur,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200405
767311,"Benigeri, Mike",CO,Co-Investigator,Co-chercheur,ASME,Agence de la santé et des services sociaux de Montréal-Centre,Québec,Québec,Canada,Canada,200405
767311,"Levesque, Jean-Frédéric",PI,Principal Investigator,Chercheur principal,AAQN,University of New South Wales (Australia),Unknown/Inconnu,Unknown/Inconnu,Australia,l'Australie,200405
767311,"Raynault, Marie-France",CO,Co-Investigator,Co-chercheur,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200405
767311,"Poirier, Léo-Roch",CO,Co-Investigator,Co-chercheur,AEFQ,Direction régionale de santé publique (CIUSSS - CSIM),Québec,Québec,Canada,Canada,200405
767311,"Bergeron, Pierre",CO,Co-Investigator,Co-chercheur,NNSP,Institut national de santé publique du Québec,Québec,Québec,Canada,Canada,200405
767311,"Hamel, Marjolaine",CO,Co-Investigator,Co-chercheur,AEFQ,Direction régionale de santé publique (CIUSSS - CSIM),Québec,Québec,Canada,Canada,200405
767311,"Beaulne, Ginette",CO,Co-Investigator,Co-chercheur,NNSP,Institut national de santé publique du Québec,Québec,Québec,Canada,Canada,200405
563147,"O'Connor, Annette M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200405
563147,"Davies, Barbara L",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
563147,"Stiell, Ian G",PI,Principal Investigator,Chercheur principal,ADYP,Ottawa Hospital Research Institute/Institut de recherche de l'Hôpital d'Ottawa,Ontario,Ontario,Canada,Canada,200405
563147,"Grinspun, Doris R.",KU,Knowledge User,Utilisateur des connaissances,RNAO,"Registered Nurses Association of Ontario (Mississauga, Ontario )/Association des infirmières et infirmiers autorisés de l'Ontario",Ontario,Ontario,Canada,Canada,200405
563147,"Poirier, Léo-Roch",KU,Knowledge User,Utilisateur des connaissances,AEFQ,Direction régionale de santé publique (CIUSSS - CSIM),Québec,Québec,Canada,Canada,200405
563147,"Matthews, Susan",KU,Knowledge User,Utilisateur des connaissances,XXXX,Undetermined/Indeterminé,Unknown,Inconnu,Unknown,Inconnu,200405
563147,"Auffrey, Lucille",KU,Knowledge User,Utilisateur des connaissances,CECH,Canadian Nurses Foundation (Ontario),Ontario,Ontario,Canada,Canada,200405
957005,"Harrison, Margaret B",PI,Principal Investigator,Chercheur principal,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200405
957005,"Moher, David",CO,Co-Investigator,Co-chercheur,ADYP,Ottawa Hospital Research Institute/Institut de recherche de l'Hôpital d'Ottawa,Ontario,Ontario,Canada,Canada,200405
957005,"Graham, Ian D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200405
957005,"Klassen, Terry P",KU,Knowledge User,Utilisateur des connaissances,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200405
957005,"Schachter, Howard M",CO,Co-Investigator,Co-chercheur,PCEC,The Provincial Centre of Excellence for Child & Youth Mental Health at CHEO,Ontario,Ontario,Canada,Canada,200405
