animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A585484,DOG,TERRIER,TERRIER,L17-031501,LIC ALTERED,HLP SCAN,10.0,2017-02-13 00:00:00,2018-01-03 00:00:00,CURRENT
A612294,DOG,COLLIE,BORDER COLLIE,L17-032044,LIC 3Y,HLP SCAN,27.0,2017-03-05 00:00:00,2020-01-30 00:00:00,CURRENT
A448863,DOG,SETTER/RETRIEVE,LABRADOR RETR,D12-031967,LIC ALTERED,MAIL,9.0,2011-12-07 00:00:00,2012-11-26 00:00:00,RENEWED
A584266,DOG,TOY,MALTESE,L15-009674,LIC ALTERED,MAIL,9.0,2016-03-02 00:00:00,2016-12-17 00:00:00,CURRENT
A559690,DOG,POODLE,COTON DE TULEAR,985121013195855,MICROCHIP,HLP IMPORT,0.0,2015-05-06 00:00:00,,CURRENT
A576857,DOG,MASTIFF,PIT BULL,U15-005337,RABIES CERT,HLP IMPORT,,2015-11-20 00:00:00,2016-10-23 00:00:00,CURRENT
A555826,DOG,HOUND,BEAGLE,L17-027938,LIC ALTERED,HLP SCAN,10.0,2017-11-27 00:00:00,2018-07-27 00:00:00,CURRENT
A557769,DOG,COLLIE,AUST SHEPHERD,L17-017006,LIC UNALTERED,HLP WEB,60.5,2017-03-26 00:00:00,2018-03-13 00:00:00,CURRENT
A569284,CAT,SHORTHAIR,DOMESTIC SH,L16-017521,LIC ALTERED,HLP SCAN,10.0,2016-08-30 00:00:00,2017-07-30 00:00:00,CURRENT
A595522,DOG,MASTIFF,ROTTWEILER,L17-046650,LIC ALTERED,MAIL,10.0,2017-08-24 00:00:00,2018-08-09 00:00:00,CURRENT
A622254,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A632829,DOG,SETTER/RETRIEVE,LABRADOR RETR,L17-004665,LIC ALTERED,VET,10.0,2017-12-20 00:00:00,2018-11-03 00:00:00,CURRENT
