COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE
Unknown,Cattaraugus,Allegany,31009700000000,KC 124,UN,NL
"Tjhung, Frank T.",Allegany,Wellsville,31003700000000,GPS 1122,UL,OD
James V. Joyce/DBA Pipeline Co.,Allegany,Andover,31003600000000,Livermore 7,UL,GD
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 849(G),UL,OD
Lupher,Oswego,Volney,31075000000000,Baldwin 1,UN,GD
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 54,UL,OD
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 059,UL,IW
Unknown,Cattaraugus,Allegany,31009700000000,KC 424,UN,NL
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 1,UN,NL
Penn York Natural Gas,Steuben,West Union,31101000000000,Johnson 1,UL,GD
"Dougherty, F.L.",Chautauqua,Hanover,31013000000000,Weller 1,UM,GD
Aluminum Match Plate,Erie,Tonawanda,31029100000000,Fee 3,UN,GD
Unknown,Allegany,Bolivar,31003700000000,PYR 146,UN,NL
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 18,UL,OD
Unknown,Cattaraugus,Allegany,31009700000000,KC 111,UN,NL
"BDH Oil, Inc.",Cattaraugus,Allegany,31009200000000,Mallory Nr6,UL,OD
Newfield Gas & Oil,Livingston,North Dansville,31051000000000,Kridler 2,UM,GD
Unknown,Cattaraugus,Allegany,31009700000000,KC 443,UN,NL
Unknown,Allegany,Genesee,31003700000000,PPP 10,UN,NL
"Allegro Oil & Gas, Inc.",Allegany,Genesee,31003600000000,Krampf U4,UL,NL
Unknown,Allegany,Wirt,31003700000000,Jakima S 60,UN,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn P 129,UM,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn J 103,UN,NL
